Topic of discussion,Representative tweet
0.qua may algo hft algos,451153348293431297
1.providers trader results evaporation prehft trading provider liquidity,451200253832593408
2.system makers players mkrs maker market inventory,451146859138928641
3.price move action aid changes discovery,451146859138928641
4.trader trade traders returns moves block,451152530026676224
5.info transaction transmission content inefficiencies fees,451151635993997312
6.hfts predatory,451220133889843200
7.thanks analysis,451207233246744576
8.brokerage infrastructure architecture,451194616578973696
9.mkt makers inventory,451216093663617025
