Topic of discussion,Representative tweet id,Another representative tweet id (if any)
others,444755406565683200,444770000251797504
storms weather type,444758679288815616,444761305354747906
pain,444760805137866752,444786538392457216
day,444749759975133184,446392392498024448
part,444761305354747906
julie,444749759975133184,444787098587918336
pass time,444753298743382016,444787098587918336
life time,444757650975117312,444790555898171392
lifetimes love,444768582896209920,444782288643956736
gia,444748341084426241,444773631575719936
