Topic of discussion,Representative tweet id,Another representative tweet id (if any)
bataille justement nai gueule nonblancs peut toujours comme été etait soule enfants tte femme racisme mais la vie tuent ds jai aux te euxmêmes ca envie victimes avouer trouve moi sont mon perdu devient représentatif vois sans blanche hétéro faire vu dirai même cas fonctionnement qd sexiste conspuer leducation dis croire en gentille fais histoire rever autre distraire et jamais homme nen est lair décrit bien cest avoir cela comprehens° privlèges effet nuit dune les que qui je selon enferment c quelle midi sûre beaucoup gens le plus une extrêmiste faits criminels etre reconnu essayé armes sol ce ménervent côté donc séparée table des commettent tétonne mythe à avais suis vrai jen condamné sonne meme monsieur regretter formes têtus larticle hommes manière ça pire j dans obligatoirmeent coupables un société il violence ai symbolique aussi non oppresseurs lundi chiffres parce pas quand etc sûr progrès choisis ne comprends lautre tout pedé quon ils particuliers lai parle être poussé dexcuser privlièges vieux ou doute féministe ss victime arrete si belle mecs ces dejà,450010965233635328,450022542292836352
bataille nai gueule nonblancs peut toujours comme été etait soule enfants tte femme racisme mais sûre tu tuent ds semblant te envie avouer de victime cote ces mon devient représentatif vois sans blanche hétéro faire vu fixer dirai même cas fonctionnement sexiste conspuer leducation dis croire en gentille fais histoire rever autre particuliers distraire et jamais dégueulasse homme vraiment est lair décrit bien façon cest avoir cela comprehens° privlèges effet dune le que qui je selon enferment c quelle têtus la beaucoup gens etc les tout une extrêmiste ou expression vie etre reconnu ca armes sol ce côté donc séparée table des tétonne mythe à parles avais suis vrai penses jen condamné sonne meme monsieur regretter formes larticle hommes manière ça pire j dans coupables un société il violence ai symbolique aussi obligatoirmeent lundi chiffres parce pas quand sûr progrès choisis ne comprends lautre pedé quon ils trouve lai parle être poussé dexcuser privlièges vieux quoi doute féministe ss moi arrete si trouves belle mecs sont dejà,450023294587396097,450033779974107137
bataille gueule nonblancs toujours comme été etait enfants tte femme racisme mais la tuent hommes avouer moi ces dejà devient vois blanche hétéro même ça le fonctionnement conspuer leducation dis croire en gentille histoire rever autre et homme sûre décrit bien cest cela comprehens° privlèges effet dune les que qui je selon enferment c quelle têtus violence beaucoup gens etc tout ils ou vie ca armes sol ce tétonne cherché mythe à suis vrai jen condamné sonne meme monsieur regretter formes larticle manière cas pire des dans coupables un société vu symbolique aussi il pauvre chiffres parce pas quand mène sûr progrès nai lautre quon une particuliers parle être poussé dexcuser privlièges vieux ss victime arrete si belle mecs sont,450025082724057088,450030671281803264
bataille nai gueule nonblancs peut toujours comme été etait soule enfants tte femme racisme mais sûre tuent ds te envie avouer trouve moi ces mon devient représentatif vois sans blanche hétéro faire vu dirai même ça fonctionnement sexiste conspuer leducation dis croire en gentille fais histoire rever autre distraire et jamais homme est lair décrit bien cest avoir cela comprehens° privlèges effet dune le que qui je selon enferment c quelle têtus la beaucoup gens etc les tout une extrêmiste ou vie etre reconnu ca armes sol ce côté donc séparée table tétonne mythe à mort avais suis vrai jen condamné sonne dame meme monsieur regretter overdose formes larticle hommes manière cas pire des dans coupables un société il violence ai symbolique j aussi obligatoirmeent lundi faux chiffres parce pas quand sûr progrès choisis ne comprends lautre pedé quon ils particuliers lai parle être poussé dexcuser privlièges vieux doute féministe ss victime arrete si belle mecs sont dejà,450023294587396097,450030377202352128
bataille nai gueule nonblancs peut toujours comme été etait soule enfants tte femme racisme mais ty tuent crime aux te envie avouer trouve moi ces mon devient représentatif vois sans blanche hétéro faire vu dirai même ça fonctionnement sexiste conspuer leducation dis croire en gentille fais histoire rever autre distraire et jamais homme est lair coupables décrit bien passion cest avoir cela comprehens° privlèges effet dune le que qui je selon enferment c quelle passionnel têtus sûre beaucoup gens ds etc les tout une extrêmiste ou vie etre reconnu ca armes sol ce côté donc séparée table tétonne mythe à avais suis vrai jen condamné sonne meme monsieur regretter formes larticle hommes manière cas la pire des dans obligatoirmeent profite un société il violence ai symbolique j aussi oppresseurs lundi chiffres parce pas quand sûr progrès choisis ne comprends lautre pedé quon ils particuliers lai parle être poussé dexcuser privlièges vieux doute féministe ss victime arrete si belle mecs sont dejà,450021838861905920
gentille ce toujours comme été autre vu diaporama femme et etait homme parce est mythe tuent cest lautre hommes bientôt dexcuser larticle pas que article bourreau fini c plein manière coupables un tout une sexiste conspuer,450026641369333760
bataille nai gueule nonblancs peut toujours comme été etait soule enfants vaisselle tte femme racisme mais sûre tu tuent vois aux te envie avouer de dejà moi trouves ces mieux devient représentatif quoi sans blanche hétéro faire vu dirai même cas fonctionnement sexiste conspuer leducation dis croire en gentille fais histoire rever autre particuliers distraire et jamais homme vraiment est lair décrit bien cest ira avoir cela comprehens° privlèges effet nuit dune le que qui je selon enferment c quelle têtus la beaucoup gens ds etc les tout une extrêmiste ou vie etre reconnu ca armes sol ce ménervent côté donc séparée table des tétonne mythe à parles avais suis vrai penses jen condamné sonne meme monsieur regretter formes larticle hommes manière ça pire j dans obligatoirmeent coupables un société il violence ai symbolique aussi oppresseurs lundi chiffres parce pas quand sûr progrès choisis ne comprends lautre pedé quon ils trouve lai parle être poussé dexcuser privlièges vieux doute féministe ss victime arrete si belle mecs sont mon,450030963490578432
bataille gueule nonblancs toujours blanche été etait femme le quelle la tu tuent tort hommes de victime trouves sont dejà hétéro faire fixer ça fonctionnement conspuer leducation fait gentille histoire rever autre et vraiment lair décrit bien façon cest avoir même comprehens° dune les que qui je c têtus violence etc tout ils ou expression sol ce mythe parles suis penses meme larticle manière cas des dans coupables un société symbolique aussi vu chiffres parce pas quand sûr nai lautre quoi une fois dexcuser si belle mecs,450020153632509952,450028775485755392
bataille gueule nonblancs toujours comme été etait enfants femme le quelle la tuent hommes avouer moi sont dejà blanche hétéro même ecrit cas fonctionnement conspuer leducation croire gentille rever autre et homme sûre décrit bien cest cela comprehens° privlèges dune les que qui je vrai enferment c têtus violence beaucoup gens etc tout ils ou vie armes sol ce cherché mythe à suis selon condamné meme larticle manière ça pire des dans coupables un société va symbolique aussi vu chiffres parce pas quand sûr progrès nai lautre quon une particuliers elle être dexcuser privlièges victime si mecs,450026263089258497,450022542292836352
bataille nai gueule nonblancs peut toujours comme été etait soule enfants tte femme racisme mais sûre tuent ds malheureusement te envie avouer trouve sol moi ces mon devient représentatif vois sans blanche hétéro faire vu dirai même ça fonctionnement sexiste conspuer leducation dis oui en gentille fais histoire rever autre distraire et jamais homme est lair décrit bien cest avoir cela comprehens° privlèges effet dune le que qui je selon enferment c quelle têtus la beaucoup gens etc les tout une extrêmiste ou vie etre reconnu ca armes croire ce côté donc séparée table tétonne mythe à avais suis intégré jen condamné sonne meme monsieur regretter formes larticle hommes ben manière cas pire des dans vrai coupables un société lundi violence tas ai symbolique j aussi ménerve frbr obligatoirmeent déjà chiffres parce pas quand il sûr progrès choisis ne comprends lautre pedé quon ils particuliers lai parle être poussé dexcuser privlièges vieux doute féministe ss victime arrete si belle mecs sont dejà,450025519716003840
